Artist and Title,Streams,Daily
The Weeknd - Blinding Lights,4975626671,1629916.0
Ed Sheeran - Shape of You,4504656335,1636642.0
The Weeknd - Starboy,4038326804,1618686.0
Lewis Capaldi - Someone You Loved,4013386081,1323370.0
Harry Styles - As It Was,4002849035,1220470.0
The Neighbourhood - Sweater Weather,3952416885,1996292.0
Post Malone - Sunflower,3917557384,1168327.0
Drake - One Dance,3747748516,1271826.0
The Kid LAROI - STAY,3632927331,1018855.0
Ed Sheeran - Perfect,3570555356,1521280.0
Imagine Dragons - Believer,3543085088,1348251.0
Glass Animals - Heat Waves,3493800034,1017671.0
Billie Eilish - lovely,3422460620,1131910.0
The Chainsmokers - Closer,3375168117,1216044.0
James Arthur - Say You Won't Let Go,3357639659,1153476.0
Tones And I - Dance Monkey,3305146458,566275.0
The Chainsmokers - Something Just Like This,3290356225,1455548.0
Vance Joy - Riptide,3232407741,1637533.0
Arctic Monkeys - I Wanna Be Yours,3227682509,2061942.0
Post Malone - rockstar,3226923319,568618.0
Coldplay - Yellow,3210350186,2325297.0
Lord Huron - The Night We Met,3194874102,2582208.0
Tom Odell - Another Love,3162411583,1510788.0
Hozier - Take Me to Church,3144274128,1174393.0
OneRepublic - Counting Stars,3094614434,1394621.0
Shawn Mendes - Señorita,3085563474,991422.0
Harry Styles - Watermelon Sugar,3080532523,694039.0
Ed Sheeran - Photograph,3053575035,1041075.0
Taylor Swift - Cruel Summer,3021933312,1720442.0
Dua Lipa - Don’t Start Now,3005972125,842172.0
Macklemore - Can't Hold Us,2999323465,1210962.0
Juice WRLD - Lucid Dreams,2945708650,638131.0
Billie Eilish - BIRDS OF A FEATHER,2913823086,3516469.0
Coldplay - Viva La Vida,2911754859,1604519.0
Travis Scott - goosebumps,2910103136,906033.0
Post Malone - Circles,2909716467,970724.0
The Weeknd - Die For You,2901851267,1274708.0
Queen - Bohemian Rhapsody,2879561517,893743.0
Justin Bieber - Love Yourself,2860688017,1065619.0
Bruno Mars - Just the Way You Are,2860016095,1439698.0
Ed Sheeran - Thinking out Loud,2857825505,744818.0
Lady Gaga - Shallow,2852028235,960263.0
Lady Gaga - Die With A Smile,2847973006,3615683.0
Drake - God's Plan,2841015345,809012.0
The Police - Every Breath You Take,2828784902,2058876.0
Avicii - Wake Me Up,2820043276,1091003.0
John Legend - All Of Me,2814302350,966550.0
Imagine Dragons - Thunder,2797997543,1017803.0
Billie Eilish - bad guy,2776921770,558547.0
